ref_path,ref_caption,mod_text,trg_path,trg_caption
women/dresses/gowns/90858429/90858429_1.jpeg,black sleeveless illusion gown,replace sleeveless with embellished,women/dresses/maxi_and_long_dresses/87702023/87702023_0.jpeg,black embellished illusion gown
women/pants/wide-leg_and_palazzo_pants/91266773/91266773_1.jpeg,black extreme wide leg trousers,replace extreme with jersey,women/pants/wide-leg_and_palazzo_pants/88566556/88566556_3.jpeg,black wide leg jersey trousers
women/skirts/maxi_skirts/90965902/90965902_2.jpeg,multicolor long pleated skirt,replace long with panel,women/skirts/knee_length_skirts/91136140/91136140_2.jpeg,multicolor pleated panel skirt
women/tops/t-shirts/91106033/91106033_3.jpeg,multicolor high neck t shirt,replace neck with low,women/tops/t-shirts/89893463/89893463_3.jpeg,multicolor high low t shirt
women/dresses/cocktail_dresses/91319859/91319859_1.jpeg,black sequined stretch jersey dress,replace sequined with crepe,women/dresses/prom_and_formal_dresses/91273375/91273375_2.jpeg,black stretch crepe jersey dress
women/tops/blouses/91352530/91352530_0.jpeg,white silk sleeveless blouse,replace sleeveless with colorblock,women/tops/blouses/90635898/90635898_2.jpeg,white silk colorblock blouse
women/dresses/casual_and_day_dresses/90429047/90429047_1.jpeg,blue embellished bandage dress,replace bandage with maxi,women/dresses/maxi_and_long_dresses/90784766/90784766_0.jpeg,blue embellished maxi dress
women/jackets/leather_jackets/90457768/90457768_0.jpeg,natural leather bomber jacket,replace leather with satin,women/jackets/casual_jackets/89141695/89141695_2.jpeg,natural satin bomber jacket
women/dresses/mini_and_short_dresses/90408473/90408473_0.jpeg,red capelet dress,replace capelet with strappy,women/dresses/cocktail_dresses/91246884/91246884_3.jpeg,red strappy dress
women/dresses/cocktail_dresses/91193401/91193401_0.jpeg,natural sleeveless sheath dress,replace natural with gray,women/dresses/casual_and_day_dresses/91305591/91305591_0.jpeg,gray sleeveless sheath dress
